fecha,zona,lluvia_madrugada,lluvia_mannana,lluvia_tarde,lluvia_noche,trafico_pesado,medio_transporte
2024-01-01,wrfsabaneta,MEDIA,MEDIA,MEDIA,MEDIA,True,CARRO
2024-01-01,wrfpalmitas,BAJA,BAJA,BAJA,MEDIA,True,MOTO
2024-01-01,wrfmedOriente,BAJA,BAJA,BAJA,BAJA,True,MOTO
2024-01-01,wrfmedOccidente,ALTA,BAJA,MEDIA,MEDIA,False,CARRO
2024-01-01,wrfmedCentro,BAJA,MEDIA,BAJA,MEDIA,True,MOTO
2024-01-01,wrflaestrella,ALTA,BAJA,BAJA,ALTA,True,MOTO
2024-01-01,wrfitagui,BAJA,BAJA,BAJA,BAJA,False,MOTO
2024-01-01,wrfgirardota,MEDIA,ALTA,ALTA,MEDIA,False,CARRO
2024-01-01,wrfenvigado,BAJA,BAJA,ALTA,MEDIA,False,CARRO
2024-01-01,wrfcopacabana,MEDIA,MEDIA,BAJA,ALTA,True,MOTO
2024-01-01,wrfcaldas,BAJA,BAJA,MEDIA,MEDIA,False,CARRO
2024-01-01,wrfbello,MEDIA,MEDIA,BAJA,MEDIA,True,MOTO
2024-01-01,wrfbarbosa,BAJA,BAJA,BAJA,BAJA,False,CARRO
2024-01-02,wrfsabaneta,BAJA,BAJA,BAJA,MEDIA,False,MOTO
2024-01-02,wrfpalmitas,MEDIA,BAJA,ALTA,MEDIA,False,CARRO
2024-01-02,wrfmedOriente,BAJA,MEDIA,ALTA,ALTA,False,CARRO
2024-01-02,wrfmedOccidente,BAJA,BAJA,BAJA,BAJA,True,MOTO
2024-01-02,wrfmedCentro,BAJA,BAJA,BAJA,BAJA,True,MOTO
2024-01-02,wrflaestrella,BAJA,BAJA,MEDIA,MEDIA,False,CARRO
2024-01-02,wrfitagui,BAJA,ALTA,MEDIA,MEDIA,True,MOTO
2024-01-02,wrfgirardota,BAJA,MEDIA,MEDIA,ALTA,False,CARRO
2024-01-02,wrfenvigado,ALTA,MEDIA,BAJA,BAJA,True,MOTO
2024-01-02,wrfcopacabana,MEDIA,MEDIA,BAJA,MEDIA,True,CARRO
2024-01-02,wrfcaldas,BAJA,MEDIA,MEDIA,BAJA,True,MOTO
2024-01-02,wrfbello,MEDIA,BAJA,MEDIA,ALTA,False,CARRO
2024-01-02,wrfbarbosa,MEDIA,MEDIA,ALTA,ALTA,False,CARRO
2024-01-03,wrfsabaneta,MEDIA,BAJA,ALTA,ALTA,False,CARRO
2024-01-03,wrfpalmitas,BAJA,ALTA,BAJA,BAJA,True,MOTO
2024-01-03,wrfmedOriente,MEDIA,MEDIA,BAJA,MEDIA,False,MOTO
2024-01-03,wrfmedOccidente,BAJA,BAJA,ALTA,ALTA,True,CARRO
2024-01-03,wrfmedCentro,BAJA,ALTA,BAJA,BAJA,False,MOTO
2024-01-03,wrflaestrella,BAJA,BAJA,BAJA,MEDIA,True,MOTO
2024-01-03,wrfitagui,MEDIA,BAJA,BAJA,ALTA,True,CARRO
2024-01-03,wrfgirardota,ALTA,BAJA,MEDIA,MEDIA,True,CARRO
2024-01-03,wrfenvigado,MEDIA,MEDIA,BAJA,BAJA,True,MOTO
2024-01-03,wrfcopacabana,BAJA,BAJA,BAJA,BAJA,True,CARRO
2024-01-03,wrfcaldas,MEDIA,BAJA,BAJA,BAJA,False,CARRO
2024-01-03,wrfbello,BAJA,BAJA,BAJA,BAJA,True,MOTO
2024-01-03,wrfbarbosa,ALTA,BAJA,ALTA,MEDIA,False,CARRO
2024-01-04,wrfsabaneta,BAJA,MEDIA,MEDIA,ALTA,False,CARRO
2024-01-04,wrfpalmitas,MEDIA,ALTA,BAJA,MEDIA,False,MOTO
2024-01-04,wrfmedOriente,ALTA,BAJA,MEDIA,MEDIA,True,CARRO
2024-01-04,wrfmedOccidente,BAJA,BAJA,BAJA,BAJA,True,MOTO
2024-01-04,wrfmedCentro,BAJA,BAJA,MEDIA,BAJA,True,CARRO
2024-01-04,wrflaestrella,ALTA,ALTA,BAJA,ALTA,True,MOTO
2024-01-04,wrfitagui,BAJA,BAJA,MEDIA,MEDIA,False,MOTO
2024-01-04,wrfgirardota,ALTA,BAJA,MEDIA,ALTA,False,CARRO
2024-01-04,wrfenvigado,ALTA,BAJA,BAJA,MEDIA,False,CARRO
2024-01-04,wrfcopacabana,MEDIA,MEDIA,BAJA,BAJA,False,MOTO
2024-01-04,wrfcaldas,BAJA,BAJA,BAJA,BAJA,False,MOTO
2024-01-04,wrfbello,BAJA,ALTA,ALTA,MEDIA,False,CARRO
2024-01-04,wrfbarbosa,MEDIA,BAJA,BAJA,BAJA,True,CARRO
2024-01-05,wrfsabaneta,ALTA,BAJA,BAJA,MEDIA,False,MOTO
2024-01-05,wrfpalmitas,ALTA,MEDIA,BAJA,BAJA,False,CARRO
2024-01-05,wrfmedOriente,BAJA,BAJA,BAJA,BAJA,False,CARRO
2024-01-05,wrfmedOccidente,ALTA,MEDIA,BAJA,BAJA,True,MOTO
